,0,1,2,3,4,5,6,7,8
27,7.0761013e-13,1.3659274e-20,7.162722e-17,2.860029e-09,2.758321e-14,1.6374238e-07,5.1042043e-10,2.5179355e-14,0.9999999
28,7.0761013e-13,1.3659274e-20,7.162722e-17,2.860029e-09,2.758321e-14,1.6374238e-07,5.1042043e-10,2.5179355e-14,0.9999999
29,7.0761013e-13,1.3659274e-20,7.162722e-17,2.860029e-09,2.758321e-14,1.6374238e-07,5.1042043e-10,2.5179355e-14,0.9999999
30,4.0772197e-06,2.18554e-08,1.7742932e-06,2.2272681e-05,0.00013343056,6.3040876e-05,0.9997739,2.1188201e-07,1.1802782e-06
31,2.2256982e-08,1.3794688e-11,6.276708e-09,2.0291117e-07,3.4808058e-06,9.3821234e-07,0.99999535,2.9658842e-10,3.4137135e-09
32,2.20401e-08,1.3600134e-11,6.217016e-09,2.0116994e-07,3.4557906e-06,9.300709e-07,0.99999547,2.928665e-10,3.377497e-09
33,2.2020771e-08,1.3582687e-11,6.2116463e-09,2.0101135e-07,3.4538007e-06,9.2929685e-07,0.99999547,2.9253155e-10,3.3740908e-09
34,2.2016403e-08,1.357875e-11,6.2104144e-09,2.0097569e-07,3.4533625e-06,9.2912495e-07,0.99999547,2.9245623e-10,3.3733252e-09
35,2.201548e-08,1.357787e-11,6.2101537e-09,2.0096783e-07,3.4532638e-06,9.2908596e-07,0.99999547,2.924395e-10,3.3731578e-09
36,2.201531e-08,1.3577714e-11,6.2100947e-09,2.009665e-07,3.4532538e-06,9.2907976e-07,0.99999547,2.924367e-10,3.373132e-09
37,2.2015227e-08,1.3577636e-11,6.210071e-09,2.0096553e-07,3.4532407e-06,9.290753e-07,0.99999547,2.9243505e-10,3.3731127e-09
38,2.2015227e-08,1.357761e-11,6.210059e-09,2.0096553e-07,3.4532407e-06,9.290753e-07,0.99999547,2.9243505e-10,3.3731062e-09
39,2.2015227e-08,1.3577636e-11,6.210059e-09,2.0096573e-07,3.4532407e-06,9.290753e-07,0.99999547,2.9243505e-10,3.3731127e-09
40,0.09077698,0.02305729,0.043412432,0.14465228,0.06914941,0.16274504,0.1080898,0.08090782,0.27720904
41,0.100352995,0.048536245,0.074667595,0.1497548,0.10060016,0.14937826,0.1207637,0.11258139,0.14336482
42,0.10259324,0.044952184,0.071966946,0.1506385,0.091017924,0.14850898,0.12202638,0.104548894,0.16374697
43,0.07282426,0.021220345,0.041628197,0.15820356,0.052954488,0.16049276,0.17508699,0.05932844,0.25826094
44,0.10239813,0.044988804,0.07233768,0.15071149,0.09080217,0.1483932,0.12266596,0.104173236,0.1635294
45,0.09970864,0.034950633,0.057720646,0.14779593,0.0856987,0.1581949,0.11250666,0.098395996,0.2050279
46,0.10033084,0.04839755,0.0744195,0.14973792,0.10084099,0.14958708,0.120398074,0.112591766,0.14369619
47,0.09123269,0.04392241,0.07005012,0.1607729,0.08446188,0.14425772,0.16654302,0.09415592,0.14460339
48,0.08017367,0.031919107,0.057404876,0.16193374,0.07534829,0.14123961,0.23406814,0.07177365,0.14613892
49,1.4734144e-11,2.6875256e-14,0.99999964,7.756605e-09,3.0599557e-07,1.3238316e-12,5.600767e-08,8.430584e-15,1.0447009e-09
50,3.2871128e-12,4.776214e-15,0.9999999,2.442662e-09,1.3520457e-07,2.768516e-13,2.0381751e-08,1.2929512e-15,2.7239042e-10
51,1.7292322e-12,2.2961327e-15,0.9999999,1.4745635e-09,9.453555e-08,1.4190016e-13,1.31971e-08,5.856604e-16,1.5108474e-10
